DATE,Interest_Rate,Inflation_rate
1/1/2017,0.72565107,1.72
2/1/2017,0.77438158,1.62
3/1/2017,0.91650302,0.89
4/1/2017,0.76575378,1.2
5/1/2017,0.7764088,1.21
6/1/2017,0.73611135,1.37
7/1/2017,0.72501612,1.46
8/1/2017,0.67086016,1.66
9/1/2017,0.56521264,1.66
10/1/2017,0.72914351,1.8
11/1/2017,0.75219045,1.71
12/1/2017,0.57304923,1.92
1/1/2018,0.87378801,2.08
2/1/2018,1.08846929,2.18
3/1/2018,1.02953583,2.28
4/1/2018,1.01435433,2.35
5/1/2018,1.2160918,2.47
6/1/2018,1.24572814,2.34
7/1/2018,1.15523371,2.33
8/1/2018,1.25524162,2.35
9/1/2018,1.1321469,2.34
10/1/2018,1.30012681,2.53
11/1/2018,1.30865835,2.62
12/1/2018,1.25496666,2.46
1/1/2019,1.04043434,2.45
2/1/2019,1.06818285,1.76
3/1/2019,0.51720765,1.91
4/1/2019,0.42030375,1.87
5/1/2019,0.5404288,1.78
6/1/2019,0.42130162,1.66
7/1/2019,0.44057188,1.16
8/1/2019,0.42005179,1.78
9/1/2019,0.23500552,2.31
10/1/2019,0.36832453,2.8
11/1/2019,0.43361185,2.12
12/1/2019,0.51426493,2.43
1/1/2020,0.50509631,2.92
2/1/2020,0.31598579,2.62
3/1/2020,-0.12783745,2.32
4/1/2020,-0.11159442,2.63
5/1/2020,-0.02785652,2.54
6/1/2020,-0.15369936,2.36
7/1/2020,-0.3453445,2.85
8/1/2020,-0.407134,2.48
9/1/2020,-0.34333693,2.42
10/1/2020,-0.29173845,2.33
11/1/2020,-0.21395564,2.37
12/1/2020,-0.23232146,2.51
1/1/2021,-0.23501721,2.56
2/1/2021,-0.2308238,2.5
3/1/2021,0.01250687,2.54
4/1/2021,0.11804694,2.71
5/1/2021,0.03694758,2.63
6/1/2021,-0.00566485,2.49
7/1/2021,0.03504108,2.22
8/1/2021,-0.26101879,2.6
9/1/2021,-0.19473087,2.37
10/1/2021,0.08790114,2.8
11/1/2021,0.16399788,2.25
12/1/2021,0.09168917,2.84
1/1/2022,0.3194951,2.53
